store,category,day_of_week,month,revenue
S01,Staples & Grains,Friday,2024-01,99949.92000000001
S01,Staples & Grains,Monday,2024-01,144795.96000000005
S01,Staples & Grains,Saturday,2024-01,144592.82999999996
S01,Staples & Grains,Sunday,2024-01,146249.87000000002
S01,Staples & Grains,Thursday,2024-01,109753.47
S01,Staples & Grains,Tuesday,2024-01,115712.75000000001
S01,Staples & Grains,Wednesday,2024-01,150034.0199999999
S01,Stationery & General,Friday,2024-01,35071.55
S01,Stationery & General,Monday,2024-01,24532.649999999998
S01,Stationery & General,Saturday,2024-01,29662.470000000005
S01,Stationery & General,Sunday,2024-01,33955.47
S01,Stationery & General,Thursday,2024-01,26165.409999999996
S01,Stationery & General,Tuesday,2024-01,24625.230000000003
S01,Stationery & General,Wednesday,2024-01,34945.850000000006
S01,UNKNOWN,Friday,2024-01,-4677.57
S01,UNKNOWN,Monday,2024-01,-10272.9
S01,UNKNOWN,Saturday,2024-01,-7679.129999999998
S01,UNKNOWN,Sunday,2024-01,-8489.869999999999
S01,UNKNOWN,Thursday,2024-01,-4759.060000000001
S01,UNKNOWN,Tuesday,2024-01,-6589.549999999998
S01,UNKNOWN,Wednesday,2024-01,-6486.210000000002
S01,Baby Care,Friday,2024-02,79296.95
S01,Baby Care,Monday,2024-02,85275.47999999998
S01,Baby Care,Saturday,2024-02,133486.68999999994
S01,Baby Care,Sunday,2024-02,132230.80999999997
S01,Baby Care,Thursday,2024-02,87055.26000000001
S01,Baby Care,Tuesday,2024-02,59260.72000000001
S01,Baby Care,Wednesday,2024-02,98801.76000000002
S01,Bakery,Friday,2024-02,16014.77
S01,Bakery,Monday,2024-02,11113.76
S01,Bakery,Saturday,2024-02,23698.079999999998
S01,Bakery,Sunday,2024-02,13628.710000000001
S01,Bakery,Thursday,2024-02,12909.56
S01,Bakery,Tuesday,2024-02,11372.52
S01,Bakery,Wednesday,2024-02,9218.56
S01,Beverages,Friday,2024-02,22453.18
S01,Beverages,Monday,2024-02,11643.8
S01,Beverages,Saturday,2024-02,35138.740000000005
S01,Beverages,Sunday,2024-02,45843.479999999996
S01,Beverages,Thursday,2024-02,27165.35
S01,Beverages,Tuesday,2024-02,17660.419999999995
S01,Beverages,Wednesday,2024-02,20161.66000000001
S01,Biscuits & Snacks,Friday,2024-02,8299.829999999998
S01,Biscuits & Snacks,Monday,2024-02,2927.47
S01,Biscuits & Snacks,Saturday,2024-02,9189.049999999997
S01,Biscuits & Snacks,Sunday,2024-02,9239.24
S01,Biscuits & Snacks,Thursday,2024-02,7201.65
S01,Biscuits & Snacks,Tuesday,2024-02,5744.54
S01,Biscuits & Snacks,Wednesday,2024-02,4417.03
S01,Confectionery,Friday,2024-02,21839.329999999994
S01,Confectionery,Monday,2024-02,11931.86
S01,Confectionery,Saturday,2024-02,23428.72
S01,Confectionery,Sunday,2024-02,16362.919999999996
S01,Confectionery,Thursday,2024-02,12384.51
S01,Confectionery,Tuesday,2024-02,10829.769999999997
S01,Confectionery,Wednesday,2024-02,22591.720000000012
S01,Dairy,Friday,2024-02,38815.01999999998
S01,Dairy,Monday,2024-02,13902.359999999999
S01,Dairy,Saturday,2024-02,63831.11999999998
S01,Dairy,Sunday,2024-02,49807.88999999997
S01,Dairy,Thursday,2024-02,34687.0
S01,Dairy,Tuesday,2024-02,26735.86
S01,Dairy,Wednesday,2024-02,22519.750000000004
S01,Edible Oils,Friday,2024-02,80874.4
S01,Edible Oils,Monday,2024-02,58827.83
S01,Edible Oils,Saturday,2024-02,174684.03999999992
S01,Edible Oils,Sunday,2024-02,109000.04999999997
S01,Edible Oils,Thursday,2024-02,85242.01999999997
S01,Edible Oils,Tuesday,2024-02,68046.62
S01,Edible Oils,Wednesday,2024-02,55707.369999999995
S01,Frozen & Ready to Eat,Friday,2024-02,42463.83
S01,Frozen & Ready to Eat,Monday,2024-02,15202.210000000003
S01,Frozen & Ready to Eat,Saturday,2024-02,34736.61000000001
S01,Frozen & Ready to Eat,Sunday,2024-02,39507.85000000001
S01,Frozen & Ready to Eat,Thursday,2024-02,33057.77
S01,Frozen & Ready to Eat,Tuesday,2024-02,24653.289999999994
S01,Frozen & Ready to Eat,Wednesday,2024-02,22075.10000000001
S01,Fruits & Vegetables,Friday,2024-02,16571.139999999996
S01,Fruits & Vegetables,Monday,2024-02,12313.920000000002
S01,Fruits & Vegetables,Saturday,2024-02,24475.399999999994
S01,Fruits & Vegetables,Sunday,2024-02,23650.39000000001
S01,Fruits & Vegetables,Thursday,2024-02,14689.160000000005
S01,Fruits & Vegetables,Tuesday,2024-02,9166.9
S01,Fruits & Vegetables,Wednesday,2024-02,10331.58
S01,Home Care,Friday,2024-02,29772.099999999995
S01,Home Care,Monday,2024-02,22694.120000000006
S01,Home Care,Saturday,2024-02,28714.370000000017
S01,Home Care,Sunday,2024-02,44288.610000000015
S01,Home Care,Thursday,2024-02,32845.62000000001
S01,Home Care,Tuesday,2024-02,23538.560000000005
S01,Home Care,Wednesday,2024-02,21532.940000000002
S01,Personal Care,Friday,2024-02,44074.41000000002
S01,Personal Care,Monday,2024-02,28342.690000000002
S01,Personal Care,Saturday,2024-02,63980.02000000001
S01,Personal Care,Sunday,2024-02,47632.36000000001
S01,Personal Care,Thursday,2024-02,40899.69
S01,Personal Care,Tuesday,2024-02,17493.640000000003
S01,Personal Care,Wednesday,2024-02,19071.89
S01,Spices & Masala,Friday,2024-02,20469.13
S01,Spices & Masala,Monday,2024-02,12817.44
S01,Spices & Masala,Saturday,2024-02,32197.04000000002
S01,Spices & Masala,Sunday,2024-02,29425.739999999998
S01,Spices & Masala,Thursday,2024-02,15676.07
S01,Spices & Masala,Tuesday,2024-02,8436.539999999999
S01,Spices & Masala,Wednesday,2024-02,17516.070000000003
S01,Staples & Grains,Friday,2024-02,108437.98999999999
S01,Staples & Grains,Monday,2024-02,78094.92999999998
S01,Staples & Grains,Saturday,2024-02,140255.32
S01,Staples & Grains,Sunday,2024-02,137431.57000000004
S01,Staples & Grains,Thursday,2024-02,108974.18999999999
S01,Staples & Grains,Tuesday,2024-02,45100.98
S01,Staples & Grains,Wednesday,2024-02,93481.21
S01,Stationery & General,Friday,2024-02,36488.270000000004
S01,Stationery & General,Monday,2024-02,16362.269999999999
S01,Stationery & General,Saturday,2024-02,37427.64999999999
S01,Stationery & General,Sunday,2024-02,35373.67000000001
S01,Stationery & General,Thursday,2024-02,30076.270000000004
S01,Stationery & General,Tuesday,2024-02,24614.969999999994
S01,Stationery & General,Wednesday,2024-02,18618.890000000003
S01,UNKNOWN,Friday,2024-02,-2945.64
S01,UNKNOWN,Monday,2024-02,-2403.4700000000003
S01,UNKNOWN,Saturday,2024-02,-8588.86
S01,UNKNOWN,Sunday,2024-02,-7341.379999999999
S01,UNKNOWN,Thursday,2024-02,-5721.4
S01,UNKNOWN,Tuesday,2024-02,-4852.41
S01,UNKNOWN,Wednesday,2024-02,-2856.22
S01,Baby Care,Friday,2024-03,111571.19999999998
S01,Baby Care,Monday,2024-03,100935.03000000001
S01,Baby Care,Saturday,2024-03,177477.96000000002
S01,Baby Care,Sunday,2024-03,122926.09999999996
S01,Baby Care,Thursday,2024-03,96109.97
S01,Baby Care,Tuesday,2024-03,68494.53999999998
S01,Baby Care,Wednesday,2024-03,87650.09
S01,Bakery,Friday,2024-03,17530.58
S01,Bakery,Monday,2024-03,10741.050000000003
S01,Bakery,Saturday,2024-03,21204.500000000004
S01,Bakery,Sunday,2024-03,22970.969999999994
S01,Bakery,Thursday,2024-03,12472.03
S01,Bakery,Tuesday,2024-03,9627.059999999996
S01,Bakery,Wednesday,2024-03,10001.959999999997
S01,Beverages,Friday,2024-03,35418.1
S01,Beverages,Monday,2024-03,20093.89
S01,Beverages,Saturday,2024-03,52988.890000000014
S01,Beverages,Sunday,2024-03,38861.04
S01,Beverages,Thursday,2024-03,33002.65000000001
S01,Beverages,Tuesday,2024-03,17026.6
S01,Beverages,Wednesday,2024-03,18050.230000000003
S01,Biscuits & Snacks,Friday,2024-03,8382.970000000001
S01,Biscuits & Snacks,Monday,2024-03,5353.549999999999
S01,Biscuits & Snacks,Saturday,2024-03,13181.86
S01,Biscuits & Snacks,Sunday,2024-03,7715.729999999999
S01,Biscuits & Snacks,Thursday,2024-03,9994.069999999998
S01,Biscuits & Snacks,Tuesday,2024-03,6932.94
S01,Biscuits & Snacks,Wednesday,2024-03,4184.0199999999995
S01,Confectionery,Friday,2024-03,26032.47
S01,Confectionery,Monday,2024-03,14807.390000000001
S01,Confectionery,Saturday,2024-03,36579.780000000006
S01,Confectionery,Sunday,2024-03,28026.78000000001
S01,Confectionery,Thursday,2024-03,17896.74
S01,Confectionery,Tuesday,2024-03,13826.429999999998
S01,Confectionery,Wednesday,2024-03,13928.15
S01,Dairy,Friday,2024-03,51711.69999999999
S01,Dairy,Monday,2024-03,29872.2
S01,Dairy,Saturday,2024-03,72457.74999999996
S01,Dairy,Sunday,2024-03,54507.02
S01,Dairy,Thursday,2024-03,39870.090000000004
S01,Dairy,Tuesday,2024-03,42326.740000000005
S01,Dairy,Wednesday,2024-03,30217.980000000003
S01,Edible Oils,Friday,2024-03,109426.18000000002
S01,Edible Oils,Monday,2024-03,48751.14
S01,Edible Oils,Saturday,2024-03,142114.72999999992
S01,Edible Oils,Sunday,2024-03,176647.91999999998
S01,Edible Oils,Thursday,2024-03,94171.84999999999
S01,Edible Oils,Tuesday,2024-03,71857.01999999997
S01,Edible Oils,Wednesday,2024-03,66478.97000000002
S01,Frozen & Ready to Eat,Friday,2024-03,43794.07
S01,Frozen & Ready to Eat,Monday,2024-03,26700.989999999994
S01,Frozen & Ready to Eat,Saturday,2024-03,48560.24
S01,Frozen & Ready to Eat,Sunday,2024-03,41633.560000000034
S01,Frozen & Ready to Eat,Thursday,2024-03,23950.829999999994
S01,Frozen & Ready to Eat,Tuesday,2024-03,27039.500000000015
S01,Frozen & Ready to Eat,Wednesday,2024-03,23293.200000000004
S01,Fruits & Vegetables,Friday,2024-03,22263.550000000007
S01,Fruits & Vegetables,Monday,2024-03,12430.32
S01,Fruits & Vegetables,Saturday,2024-03,24996.829999999998
S01,Fruits & Vegetables,Sunday,2024-03,25141.01000000001
S01,Fruits & Vegetables,Thursday,2024-03,16368.720000000001
S01,Fruits & Vegetables,Tuesday,2024-03,13432.840000000006
S01,Fruits & Vegetables,Wednesday,2024-03,14005.150000000001
S01,Home Care,Friday,2024-03,38059.49999999998
S01,Home Care,Monday,2024-03,20987.21
S01,Home Care,Saturday,2024-03,48151.47
S01,Home Care,Sunday,2024-03,67924.95999999999
S01,Home Care,Thursday,2024-03,20251.36
S01,Home Care,Tuesday,2024-03,16017.179999999995
S01,Home Care,Wednesday,2024-03,19541.99
S01,Personal Care,Friday,2024-03,59903.10000000003
S01,Personal Care,Monday,2024-03,24716.190000000002
S01,Personal Care,Saturday,2024-03,62364.38000000001
S01,Personal Care,Sunday,2024-03,62530.01999999999
S01,Personal Care,Thursday,2024-03,42588.60999999999
S01,Personal Care,Tuesday,2024-03,28727.920000000002
S01,Personal Care,Wednesday,2024-03,45140.21
S01,Spices & Masala,Friday,2024-03,26399.969999999998
S01,Spices & Masala,Monday,2024-03,23829.050000000007
S01,Spices & Masala,Saturday,2024-03,37413.69000000002
S01,Spices & Masala,Sunday,2024-03,25793.049999999992
S01,Spices & Masala,Thursday,2024-03,27549.67000000001
S01,Spices & Masala,Tuesday,2024-03,14049.81
S01,Spices & Masala,Wednesday,2024-03,11991.140000000001
S01,Staples & Grains,Friday,2024-03,131930.32
S01,Staples & Grains,Monday,2024-03,108973.00000000003
S01,Staples & Grains,Saturday,2024-03,185661.38000000006
S01,Staples & Grains,Sunday,2024-03,151421.96000000005
S01,Staples & Grains,Thursday,2024-03,89964.44000000002
S01,Staples & Grains,Tuesday,2024-03,66797.01000000001
S01,Staples & Grains,Wednesday,2024-03,72536.0
S01,Stationery & General,Friday,2024-03,39007.44000000001
S01,Stationery & General,Monday,2024-03,19617.12
S01,Stationery & General,Saturday,2024-03,53942.38999999996
S01,Stationery & General,Sunday,2024-03,51552.15
S01,Stationery & General,Thursday,2024-03,28243.670000000002
S01,Stationery & General,Tuesday,2024-03,22420.5
S01,Stationery & General,Wednesday,2024-03,21437.940000000006
S01,UNKNOWN,Friday,2024-03,-5989.889999999999
S01,UNKNOWN,Monday,2024-03,-1973.6100000000001
S01,UNKNOWN,Saturday,2024-03,-10159.3
S01,UNKNOWN,Sunday,2024-03,-10107.319999999998
S01,UNKNOWN,Thursday,2024-03,-6385.960000000001
S01,UNKNOWN,Tuesday,2024-03,-4862.19
S01,UNKNOWN,Wednesday,2024-03,-5000.3
S01,Baby Care,Friday,2024-04,93115.06999999999
S01,Baby Care,Monday,2024-04,105327.00999999998
S01,Baby Care,Saturday,2024-04,124777.41999999997
S01,Baby Care,Sunday,2024-04,143746.12999999998
S01,Baby Care,Thursday,2024-04,84662.15
S01,Baby Care,Tuesday,2024-04,79976.43
S01,Baby Care,Wednesday,2024-04,110844.98999999993
S01,Bakery,Friday,2024-04,9765.599999999997
S01,Bakery,Monday,2024-04,14568.739999999998
S01,Bakery,Saturday,2024-04,18091.43
S01,Bakery,Sunday,2024-04,18810.180000000004
S01,Bakery,Thursday,2024-04,11454.660000000003
S01,Bakery,Tuesday,2024-04,15861.760000000007
S01,Bakery,Wednesday,2024-04,6753.169999999996
S01,Beverages,Friday,2024-04,17543.6
S01,Beverages,Monday,2024-04,30151.030000000006
S01,Beverages,Saturday,2024-04,33850.930000000015
S01,Beverages,Sunday,2024-04,42224.759999999995
S01,Beverages,Thursday,2024-04,19919.780000000002
S01,Beverages,Tuesday,2024-04,24710.56
S01,Beverages,Wednesday,2024-04,23518.55
S01,Biscuits & Snacks,Friday,2024-04,7433.719999999998
S01,Biscuits & Snacks,Monday,2024-04,6809.17
S01,Biscuits & Snacks,Saturday,2024-04,11418.25
S01,Biscuits & Snacks,Sunday,2024-04,7820.789999999996
S01,Biscuits & Snacks,Thursday,2024-04,5717.76
S01,Biscuits & Snacks,Tuesday,2024-04,6139.1
S01,Biscuits & Snacks,Wednesday,2024-04,5719.76
S01,Confectionery,Friday,2024-04,17739.170000000002
S01,Confectionery,Monday,2024-04,16948.65
S01,Confectionery,Saturday,2024-04,23900.65
S01,Confectionery,Sunday,2024-04,19665.790000000005
S01,Confectionery,Thursday,2024-04,18456.399999999998
S01,Confectionery,Tuesday,2024-04,19239.75
S01,Confectionery,Wednesday,2024-04,16765.14
S01,Dairy,Friday,2024-04,33870.649999999994
S01,Dairy,Monday,2024-04,51874.15999999999
S01,Dairy,Saturday,2024-04,59495.46000000001
S01,Dairy,Sunday,2024-04,41171.37000000001
S01,Dairy,Thursday,2024-04,32004.37000000001
S01,Dairy,Tuesday,2024-04,44865.34999999999
S01,Dairy,Wednesday,2024-04,33730.39
S01,Edible Oils,Friday,2024-04,92444.88
S01,Edible Oils,Monday,2024-04,121197.39000000006
S01,Edible Oils,Saturday,2024-04,130091.34000000001
S01,Edible Oils,Sunday,2024-04,114051.25999999998
S01,Edible Oils,Thursday,2024-04,56713.509999999995
S01,Edible Oils,Tuesday,2024-04,73182.69999999998
S01,Edible Oils,Wednesday,2024-04,53644.69
S01,Frozen & Ready to Eat,Friday,2024-04,34829.78
S01,Frozen & Ready to Eat,Monday,2024-04,36411.65
S01,Frozen & Ready to Eat,Saturday,2024-04,47503.00999999998
S01,Frozen & Ready to Eat,Sunday,2024-04,39246.23
S01,Frozen & Ready to Eat,Thursday,2024-04,26751.660000000003
S01,Frozen & Ready to Eat,Tuesday,2024-04,24707.520000000008
S01,Frozen & Ready to Eat,Wednesday,2024-04,21540.699999999993
S01,Fruits & Vegetables,Friday,2024-04,17864.439999999995
S01,Fruits & Vegetables,Monday,2024-04,14439.330000000002
S01,Fruits & Vegetables,Saturday,2024-04,21758.480000000007
S01,Fruits & Vegetables,Sunday,2024-04,24813.17
S01,Fruits & Vegetables,Thursday,2024-04,12833.480000000001
S01,Fruits & Vegetables,Tuesday,2024-04,18390.960000000006
S01,Fruits & Vegetables,Wednesday,2024-04,13384.190000000004
S01,Home Care,Friday,2024-04,35566.590000000004
S01,Home Care,Monday,2024-04,39320.8
S01,Home Care,Saturday,2024-04,45091.469999999994
S01,Home Care,Sunday,2024-04,31609.48
S01,Home Care,Thursday,2024-04,26925.42
S01,Home Care,Tuesday,2024-04,17421.849999999995
S01,Home Care,Wednesday,2024-04,21343.010000000006
S01,Personal Care,Friday,2024-04,33665.649999999994
S01,Personal Care,Monday,2024-04,38086.67
S01,Personal Care,Saturday,2024-04,53228.719999999994
S01,Personal Care,Sunday,2024-04,60949.400000000016
S01,Personal Care,Thursday,2024-04,21985.309999999998
S01,Personal Care,Tuesday,2024-04,31747.84000000001
S01,Personal Care,Wednesday,2024-04,32291.11
S01,Spices & Masala,Friday,2024-04,21218.60000000001
S01,Spices & Masala,Monday,2024-04,20911.649999999994
S01,Spices & Masala,Saturday,2024-04,28326.249999999993
S01,Spices & Masala,Sunday,2024-04,24969.920000000006
S01,Spices & Masala,Thursday,2024-04,18855.490000000005
S01,Spices & Masala,Tuesday,2024-04,20725.980000000003
S01,Spices & Masala,Wednesday,2024-04,20589.490000000005
S01,Staples & Grains,Friday,2024-04,114917.98999999999
S01,Staples & Grains,Monday,2024-04,109758.63999999997
S01,Staples & Grains,Saturday,2024-04,183248.49000000002
S01,Staples & Grains,Sunday,2024-04,148919.83000000002
S01,Staples & Grains,Thursday,2024-04,126118.41
S01,Staples & Grains,Tuesday,2024-04,144420.6
S01,Staples & Grains,Wednesday,2024-04,79299.99
S01,Stationery & General,Friday,2024-04,25769.74000000001
S01,Stationery & General,Monday,2024-04,22834.27
S01,Stationery & General,Saturday,2024-04,32511.070000000003
S01,Stationery & General,Sunday,2024-04,35860.16999999999
S01,Stationery & General,Thursday,2024-04,25110.930000000004
S01,Stationery & General,Tuesday,2024-04,24307.339999999997
S01,Stationery & General,Wednesday,2024-04,15883.06
S01,UNKNOWN,Friday,2024-04,-5666.450000000002
S01,UNKNOWN,Monday,2024-04,-6548.68
S01,UNKNOWN,Saturday,2024-04,-5451.47
S01,UNKNOWN,Sunday,2024-04,-5795.060000000001
S01,UNKNOWN,Thursday,2024-04,-5279.84
S01,UNKNOWN,Tuesday,2024-04,-4505.040000000001
S01,UNKNOWN,Wednesday,2024-04,-6840.419999999999
S01,Baby Care,Friday,2024-05,143762.61000000004
S01,Baby Care,Monday,2024-05,112594.05999999998
S01,Baby Care,Saturday,2024-05,135121.53999999995
S01,Baby Care,Sunday,2024-05,139780.93999999994
S01,Baby Care,Thursday,2024-05,72825.24999999999
S01,Baby Care,Tuesday,2024-05,92071.68000000004
S01,Baby Care,Wednesday,2024-05,129309.14
S01,Bakery,Friday,2024-05,21227.850000000002
S01,Bakery,Monday,2024-05,8289.939999999999
S01,Bakery,Saturday,2024-05,18718.489999999998
S01,Bakery,Sunday,2024-05,14614.170000000002
S01,Bakery,Thursday,2024-05,13737.59
S01,Bakery,Tuesday,2024-05,9450.439999999999
S01,Bakery,Wednesday,2024-05,16589.019999999997
S01,Beverages,Friday,2024-05,43951.840000000026
S01,Beverages,Monday,2024-05,15242.279999999999
S01,Beverages,Saturday,2024-05,42078.560000000005
S01,Beverages,Sunday,2024-05,32360.639999999996
S01,Beverages,Thursday,2024-05,30154.090000000004
S01,Beverages,Tuesday,2024-05,27862.310000000005
S01,Beverages,Wednesday,2024-05,25014.149999999998
S01,Biscuits & Snacks,Friday,2024-05,10061.409999999998
S01,Biscuits & Snacks,Monday,2024-05,5623.870000000002
S01,Biscuits & Snacks,Saturday,2024-05,12506.740000000003
S01,Biscuits & Snacks,Sunday,2024-05,9636.690000000002
S01,Biscuits & Snacks,Thursday,2024-05,7286.739999999998
S01,Biscuits & Snacks,Tuesday,2024-05,7542.56
S01,Biscuits & Snacks,Wednesday,2024-05,11009.38
S01,Confectionery,Friday,2024-05,26366.080000000005
S01,Confectionery,Monday,2024-05,14164.949999999995
S01,Confectionery,Saturday,2024-05,33941.77
S01,Confectionery,Sunday,2024-05,23134.920000000002
S01,Confectionery,Thursday,2024-05,17753.830000000005
S01,Confectionery,Tuesday,2024-05,15919.400000000005
S01,Confectionery,Wednesday,2024-05,21471.82000000001
S01,Dairy,Friday,2024-05,73549.38999999998
S01,Dairy,Monday,2024-05,30431.16
S01,Dairy,Saturday,2024-05,59176.599999999984
S01,Dairy,Sunday,2024-05,61521.79000000001
S01,Dairy,Thursday,2024-05,37485.07
S01,Dairy,Tuesday,2024-05,35849.54
S01,Dairy,Wednesday,2024-05,42199.12999999999
S01,Edible Oils,Friday,2024-05,128890.03999999996
S01,Edible Oils,Monday,2024-05,75048.51999999996
S01,Edible Oils,Saturday,2024-05,123225.76000000001
S01,Edible Oils,Sunday,2024-05,114368.13999999996
S01,Edible Oils,Thursday,2024-05,103916.09000000001
S01,Edible Oils,Tuesday,2024-05,81057.12999999998
S01,Edible Oils,Wednesday,2024-05,117636.98999999995
S01,Frozen & Ready to Eat,Friday,2024-05,42811.78000000002
S01,Frozen & Ready to Eat,Monday,2024-05,24256.890000000007
S01,Frozen & Ready to Eat,Saturday,2024-05,45182.459999999985
S01,Frozen & Ready to Eat,Sunday,2024-05,48874.109999999986
S01,Frozen & Ready to Eat,Thursday,2024-05,38458.14000000001
S01,Frozen & Ready to Eat,Tuesday,2024-05,25565.219999999998
S01,Frozen & Ready to Eat,Wednesday,2024-05,46249.77000000001
S01,Fruits & Vegetables,Friday,2024-05,21224.880000000005
S01,Fruits & Vegetables,Monday,2024-05,10828.329999999998
S01,Fruits & Vegetables,Saturday,2024-05,22392.580000000013
S01,Fruits & Vegetables,Sunday,2024-05,23214.46000000001
S01,Fruits & Vegetables,Thursday,2024-05,12969.839999999998
S01,Fruits & Vegetables,Tuesday,2024-05,12540.54
S01,Fruits & Vegetables,Wednesday,2024-05,19331.580000000005
S01,Home Care,Friday,2024-05,39963.13
S01,Home Care,Monday,2024-05,22694.3
S01,Home Care,Saturday,2024-05,38745.87
S01,Home Care,Sunday,2024-05,38137.35
S01,Home Care,Thursday,2024-05,28774.589999999997
S01,Home Care,Tuesday,2024-05,28329.06
S01,Home Care,Wednesday,2024-05,33801.69000000001
S01,Personal Care,Friday,2024-05,43889.509999999995
S01,Personal Care,Monday,2024-05,30729.440000000006
S01,Personal Care,Saturday,2024-05,65534.520000000004
S01,Personal Care,Sunday,2024-05,53661.949999999975
S01,Personal Care,Thursday,2024-05,42398.91
S01,Personal Care,Tuesday,2024-05,24806.850000000006
S01,Personal Care,Wednesday,2024-05,44959.50999999999
S01,Spices & Masala,Friday,2024-05,27019.500000000007
S01,Spices & Masala,Monday,2024-05,17320.35
S01,Spices & Masala,Saturday,2024-05,29845.51000000001
S01,Spices & Masala,Sunday,2024-05,25717.81
S01,Spices & Masala,Thursday,2024-05,22809.569999999996
S01,Spices & Masala,Tuesday,2024-05,20389.4
S01,Spices & Masala,Wednesday,2024-05,19538.390000000003
S01,Staples & Grains,Friday,2024-05,144001.48
S01,Staples & Grains,Monday,2024-05,87126.53999999998
S01,Staples & Grains,Saturday,2024-05,203775.26999999996
